#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Plasmodium berghei	5821	PRJEB11993	305111	Protists	Apicomplexans	18.305	22.0543	GCA_900095585.1	chromosome 1:LT608265.1; chromosome 2:LT608266.1; chromosome 3:LT608267.1; chromosome 4:LT608268.1; chromosome 5:LT608269.1; chromosome 6:LT608270.1; chromosome 7:LT608271.1; chromosome 8:LT608272.1; chromosome 9:LT608273.1; chromosome 10:LT608274.1; chromosome 11:LT608275.1; chromosome 12:LT608276.1; chromosome 13:LT608277.1; chromosome 14:LT608278.1; mitochondrion MT:LT608280.1; apicoplast API:LT608279.1	FMIH01	269	5100	4897	2016/09/20	2016/09/20	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1323895
Toxoplasma gondii	5811	PRJNA638608	638608	Protists	Apicomplexans	64.7797	52.4024	GCA_019455585.1	chromosome Ia:CM033569.1; chromosome Ib:CM033570.1; chromosome II:CM033571.1; chromosome III:CM033572.1; chromosome IV:CM033573.1; chromosome V:CM033574.1; chromosome VI:CM033575.1; chromosome VIII:CM033576.1; chromosome IX:CM033577.1; chromosome X:CM033578.1; chromosome XI:CM033579.1; chromosome XII:CM033580.1; apicoplast Api:CM033582.1	JACEHA01	36	-	-	2021/08/05	2021/08/09	Chromosome	University of Pittsburgh	SAMN15203627
Plasmodium vivax	5855	PRJEB14589	347317	Protists	Apicomplexans	28.9953	39.6833	GCA_900093545.1	chromosome 1:LT615239.1; chromosome 2:LT615240.1; chromosome 3:LT615241.1; chromosome 4:LT615242.1; chromosome 5:LT615243.1; chromosome 6:LT615244.1; chromosome 7:LT615245.1; chromosome 8:LT615246.1; chromosome 9:LT615247.1; chromosome 10:LT615248.1; chromosome 11:LT615249.1; chromosome 12:LT615250.1; chromosome 13:LT615251.1; chromosome 14:LT615252.1	FLYH01	374	6499	6077	2016/10/06	2016/10/06	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2155844
Babesia bovis	5865	PRJNA750231	750231	Protists	Apicomplexans	8.76082	42.1	GCA_020449125.1	-	JAIUGF01	2274	-	-	2021/10/13	2021/10/13	Contig	Centro de Ciencias Genomicas - Universidad Nacional Autonoma de Mexico	SAMN20446764
Theileria parva	5875	PRJNA656578	656578	Protists	Apicomplexans	8.27838	34	GCA_014884835.1	-	JACXXA01	163	-	-	2020/10/13	2020/10/13	Scaffold	University of Maryland School of Medicine	SAMN15466803
Plasmodium knowlesi	5850	PRJNA799698	799698	Protists	Apicomplexans	24.812	39.0309	GCA_023845535.1	chromosome 1:CM043433.1; chromosome 2:CM043434.1; chromosome 3:CM043435.1; chromosome 4:CM043436.1; chromosome 5:CM043437.1; chromosome 6:CM043438.1; chromosome 7:CM043439.1; chromosome 8:CM043440.1; chromosome 9:CM043441.1; chromosome 10:CM043442.1; chromosome 11:CM043443.1; chromosome 12:CM043444.1; chromosome 13:CM043445.1; chromosome 14:CM043446.1	JALBGS01	47	-	-	2022/06/22	2022/06/22	Chromosome	University of St Andrews	SAMN25207256
Plasmodium falciparum	5833	PRJNA859271	859271	Protists	Apicomplexans	23.3084	21.0711	GCA_024442135.1	chromosome 1:CP101623.1; chromosome 2:CP101629.1; chromosome 3:CP101630.1; chromosome 4:CP101631.1; chromosome 5:CP101632.1; chromosome 6:CP101633.1; chromosome 7:CP101634.1; chromosome 8:CP101635.1; chromosome 9:CP101636.1; chromosome 10:CP101624.1; chromosome 11:CP101625.1; chromosome 12:CP101626.1; chromosome 13:CP101627.1; chromosome 14:CP101628.1	-	14	-	-	2022/07/26	2022/07/26	Chromosome	LRU-Jericho	SAMN29774748
Caenorhabditis briggsae	6238	PRJNA784955	784955	Animals	Roundworms	106.196	37.3499	GCA_021491975.1	chromosome I:CP090891.1; chromosome II:CP090892.1; chromosome III:CP090893.1; chromosome IV:CP090894.1; chromosome V:CP090895.1; chromosome X:CP090896.1; mitochondrion MT:CP090897.1	-	7	19958	29684	2022/01/17	2022/05/06	Chromosome	NORTHWESTERN UNIVERSITY	SAMN23520879
Plasmodium yoelii	5861	PRJEB1062	205707	Protists	Apicomplexans	22.458	21.7103	GCA_900617875.1	chromosome 1:LR129812.1; chromosome 2:LR129813.1; chromosome 3:LR129814.1; chromosome 4:LR129815.1; chromosome 5:LR129816.1; chromosome 6:LR129817.1; chromosome 7:LR129818.1; chromosome 8:LR129819.1; chromosome 9:LR129820.1; chromosome 10:LR129821.1; chromosome 11:LR129822.1; chromosome 12:LR129823.1; chromosome 13:LR129824.1; chromosome 14:LR129825.1	UYIC01	2303	-	-	2018/11/22	2018/11/22	Chromosome	Wellcome Sanger Institute	SAMEA1712525
Tetrahymena thermophila SB210	312017	PRJNA51571	51571	Protists	Other Protists	157.693	23.7	GCA_000261185.1	-	AFSS02	1464	47	48	2011/10/24	2016/07/15	Scaffold	Broad Institute	SAMN02953797
Phytophthora ramorum	164328	PRJNA738482	738482	Protists	Other Protists	57.5008	54.1	GCA_020800235.1	-	JAICDX01	27	15350	15587	2021/11/08	2021/11/08	Scaffold	USDA ARS	SAMN19730093
Schmidtea mediterranea	79327	PRJNA12585	12585	Animals	Flatworms	865.587	29.9	GCA_000181075.1	-	AAWT01	94682	-	-	2007/01/26	2014/08/06	Contig	Genome Sequencing Center, Washington University	SAMN02953673
Schistosoma japonicum	6182	PRJNA520774	520774	Animals	Flatworms	369.901	33.8	GCA_006368765.1	-	SKCS01	1789	11416	16936	2019/06/14	2019/06/14	Scaffold	Fudan University	SAMN10867452
Trichinella spiralis	6334	PRJNA489802	489802	Animals	Roundworms	52.836	36.7726	GCA_008807755.1	chromosome 1:CP032369.1; chromosome 2:CP032368.1; chromosome X:CP032367.1	-	3	-	-	2019/10/03	2019/10/03	Chromosome	USDA-Agricultural Research Service	SAMN09989518
Fasciola hepatica	6192	PRJEB6687	263667	Animals	Flatworms	1275.11	44.3	GCA_000947175.1	-	CCMX01	20158	82650	-	2014/11/08	2014/11/08	Scaffold	University of Liverpool	SAMEA2629804
Pristionchus pacificus	54126	PRJEB48368	776492	Animals	Roundworms	149.188	42.9	GCA_918442835.1	-	CAKKLA01	31758	-	-	2021/11/01	2021/11/01	Scaffold	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA4599120
Neospora caninum	29176	PRJNA597814	597814	Protists	Apicomplexans	61.3987	54.8399	GCA_016097425.1	chromosome I:CM027884.1; chromosome II:CM027885.1; chromosome III:CM027886.1; chromosome IV:CM027887.1; chromosome V:CM027888.1; chromosome VI:CM027889.1; chromosome VII:CM027890.1; chromosome VIII:CM027891.1; chromosome IX:CM027892.1; chromosome X:CM027893.1; chromosome XI:CM027894.1; chromosome XII:CM027895.1; chromosome XIII:CM027896.1	JACVML01	45	-	-	2020/12/16	2020/12/17	Chromosome	Institut Pasteur de Montevideo	SAMN15969189
Leishmania infantum	5671	PRJNA437593	437593	Protists	Kinetoplasts	32.0091	59.5625	GCA_003020905.1	chromosome 1:CP027807.1; chromosome 2:CP027818.1; chromosome 3:CP027829.1; chromosome 4:CP027837.1; chromosome 5:CP027838.1; chromosome 6:CP027839.1; chromosome 7:CP027840.1; chromosome 8:CP027841.1; chromosome 9:CP027842.1; chromosome 10:CP027808.1; chromosome 11:CP027809.1; chromosome 12:CP027810.1; chromosome 13:CP027811.1; chromosome 14:CP027812.1; chromosome 15:CP027813.1; chromosome 16:CP027814.1; chromosome 17:CP027815.1; chromosome 18:CP027816.1; chromosome 19:CP027817.1; chromosome 20:CP027819.1; chromosome 21:CP027820.1; chromosome 22:CP027821.1; chromosome 23:CP027822.1; chromosome 24:CP027823.1; chromosome 25:CP027824.1; chromosome 26:CP027825.1; chromosome 27:CP027826.1; chromosome 28:CP027827.1; chromosome 29:CP027828.1; chromosome 30:CP027830.1; chromosome 31:CP027831.1; chromosome 32:CP027832.1; chromosome 33:CP027833.1; chromosome 34:CP027834.1; chromosome 35:CP027835.1; chromosome 36:CP027836.1	-	36	-	-	2018/03/27	2018/04/06	Complete Genome	Ankara University Faculty of Veterinary Medicine, Department of Parasitology	SAMN08583618
Plasmodium reichenowi	5854	PRJEB4434	231573	Protists	Apicomplexans	24.0555	19.4	GCA_000723685.1	-	CBXM01	372	5901	5630	2014/05/22	2015/01/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA3139042
Caenorhabditis remanei	31234	PRJNA248909	248909	Animals	Roundworms	124.505	37.9576	GCA_001643735.4	chromosome I:CM050494.1; chromosome II:CM050495.1; chromosome III:CM050496.1; chromosome IV:CM050497.1; chromosome V:CM050498.1; chromosome X:CM050499.1; mitochondrion MT:CM050506.1	LFJK04	17	-	-	2016/05/13	2023/01/03	Chromosome	University of Oregon	SAMN02803904
Trichomonas vaginalis G3	412133	PRJNA16084	16084	Protists	Other Protists	176.42	32.9	GCA_000002825.3	-	AAHC03	64769	60817	59681	2005/05/25	2022/12/02	Scaffold	TIGR	SAMN02953626
Acanthamoeba castellanii	5755	PRJNA599339	599339	Protists	Other Protists	43.8286	58.4	GCA_021020605.1	-	JAJGAP01	111	-	-	2021/12/01	2021/12/01	Contig	Institut Pasteur	SAMN22645379
Meloidogyne incognita	6306	PRJEA28837	28837	Animals	Roundworms	82.095	31.4	GCA_000180415.1	-	CABB01	9538	-	-	2008/09/09	2008/09/09	Contig	Genoscope - CEA	SAMEA2272339
Phytophthora infestans	4787	PRJNA592863	592863	Protists	Other Protists	200.674	51.4	GCA_012295175.1	-	WSZM01	1510	21003	20172	2020/04/14	2020/04/27	Contig	Rural Development Administration	SAMN13441166
Ascaris suum	6253	PRJNA62057	62057	Animals	Roundworms	279.712	37.6	GCA_000331935.3	-	ANBK02	217	-	-	2013/01/16	2017/11/06	Scaffold	Department of Biochemistry and Molecular Genetics, University of Colorado School of Medicine	SAMN07782706
Cryptosporidium hominis	237895	PRJNA307563	307563	Protists	Apicomplexans	9.04029	30.2	GCA_001945495.1	-	LQXE01	13	-	-	2017/01/11	2017/01/11	Contig	Public Health Agency of Sweden	SAMN04395431
Aureococcus anophagefferens	44056	PRJNA692237	692237	Protists	Other Protists	73.7466	70.3377	GCA_021029115.1	mitochondrion MT:CM038127.1; chloroplast Pltd:CM038128.1	JAFCAG01	217	17689	16419	2021/12/03	2022/01/11	Contig	University of Tennessee	SAMN17317549
Taenia solium	6204	PRJNA183343	183343	Animals	Flatworms	114.436	28.6	GCA_002082475.1	-	AOMU01	17127	-	-	2017/04/10	2017/04/10	Contig	NIAID	SAMN01840458
Leishmania braziliensis	5660	PRJNA814324	814324	Protists	Kinetoplasts	33.5039	58.0061	GCA_024505685.1	chromosome 1:CM044709.1; chromosome 2:CM044710.1; chromosome 3:CM044711.1; chromosome 4:CM044712.1; chromosome 5:CM044713.1; chromosome 6:CM044714.1; chromosome 7:CM044715.1; chromosome 8:CM044716.1; chromosome 9:CM044717.1; chromosome 10:CM044718.1; chromosome 11:CM044719.1; chromosome 12:CM044720.1; chromosome 13:CM044721.1; chromosome 14:CM044722.1; chromosome 15:CM044723.1; chromosome 16:CM044724.1; chromosome 17:CM044725.1; chromosome 18:CM044726.1; chromosome 19:CM044727.1; chromosome 20:CM044728.1; chromosome 21:CM044729.1; chromosome 22:CM044730.1; chromosome 23:CM044731.1; chromosome 24:CM044732.1; chromosome 25:CM044733.1; chromosome 26:CM044734.1; chromosome 27:CM044735.1; chromosome 28:CM044736.1; chromosome 29:CM044737.1; chromosome 30:CM044738.1; chromosome 31:CM044739.1; chromosome 32:CM044740.1; chromosome 33:CM044741.1; chromosome 34:CM044742.1; chromosome 35:CM044743.1	JAMFLV01	51	8373	7459	2022/08/01	2022/08/02	Chromosome	UFMG	SAMN26547435
Heterodera glycines	51029	PRJNA28939	28939	Animals	Roundworms	81.908	37.5	GCA_000150805.1	-	ABLA01	34708	-	-	2008/03/20	2014/08/06	Scaffold	Monsanto	SAMN02953723
Wuchereria bancrofti	6293	PRJEB536	261608	Animals	Roundworms	76.9915	28.8	GCA_900622535.1	-	UYWW01	13520	13041	13005	2018/11/28	2018/11/28	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1686771
Hyaloperonospora arabidopsidis	272952	PRJNA298674	298674	Protists	Other Protists	74.4562	47.8	GCA_001414525.1	-	LLKM01	12086	-	-	2015/10/27	2015/10/27	Scaffold	University of Exeter	SAMN04161522
Leishmania donovani	5661	PRJEB23341	699899	Protists	Kinetoplasts	33.0359	59.7677	GCA_900635355.2	chromosome 1:LR812621.1; chromosome 2:LR812622.1; chromosome 3:LR812623.1; chromosome 4:LR812624.1; chromosome 5:LR812625.1; chromosome 6:LR812626.1; chromosome 7:LR812627.1; chromosome 8:LR812628.1; chromosome 9:LR812629.1; chromosome 10:LR812630.1; chromosome 11:LR812631.1; chromosome 12:LR812632.1; chromosome 13:LR812633.1; chromosome 14:LR812634.1; chromosome 15:LR812635.1; chromosome 16:LR812636.1; chromosome 17:LR812637.1; chromosome 18:LR812638.1; chromosome 19:LR812639.1; chromosome 20:LR812640.1; chromosome 21:LR812641.1; chromosome 22:LR812642.1; chromosome 23:LR812643.1; chromosome 24:LR812644.1; chromosome 25:LR812645.1; chromosome 26:LR812646.1; chromosome 27:LR812647.1; chromosome 28:LR812648.1; chromosome 29:LR812649.1; chromosome 30:LR812650.1; chromosome 31:LR812651.1; chromosome 32:LR812652.1; chromosome 33:LR812653.1; chromosome 34:LR812654.1; chromosome 35:LR812655.1; chromosome 36:LR812656.1	-	36	8594	8404	2020/06/10	2020/06/10	Complete Genome	Centro Biologia Molecular Severo Ochoa (CBMSO)	SAMEA104389403
Phytophthora cinnamomi	4785	PRJNA290837	290837	Protists	Other Protists	53.9693	54	GCA_001314505.1	-	LGSK01	6270	-	-	2015/10/14	2016/03/17	Scaffold	University of Exeter	SAMN03921830
Cafeteria roenbergensis	33653	PRJNA552725	552725	Protists	Other Protists	34.5212	70.445	GCA_008330625.1	mitochondrion MT:CM017890.1	VLTM01	270	8086	8098	2019/09/09	2019/09/09	Contig	Max Planck Institute for Medical Research	SAMN12216699
Hymenolepis diminuta	6216	PRJEB507	261581	Animals	Flatworms	165.879	35	GCA_900618445.1	-	UYSG01	13910	11268	11244	2018/11/28	2018/11/28	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034737
Toxocara canis	6265	PRJNA320963	320963	Animals	Roundworms	341.757	26.4	GCA_001680135.1	-	LYYD01	10853	-	-	2016/07/06	2016/07/06	Scaffold	Hallym University	SAMN04961616
Radopholus similis	46012	PRJNA522283	522283	Animals	Roundworms	65.1957	51	GCA_004764675.1	-	SJFO01	8133	-	-	2019/04/09	2019/04/09	Scaffold	North Carolina State University	SAMN10926135
Dirofilaria immitis	6287	PRJNA593581	593581	Animals	Roundworms	83.7114	27.7	GCA_013365355.1	-	JABVXT01	1294	-	-	2020/06/22	2020/06/22	Scaffold	New England Biolabs	SAMN15190314
Trypanosoma vivax Y486	1055687	PRJNA12957	12957	Protists	Kinetoplasts	24.7793	53.6	GCA_000227375.1	-	CAEX01	8277	4059	3790	2011/08/08	2011/08/08	Contig	The Sanger Institute	SAMEA3138398
Trypanosoma congolense IL3000	1068625	PRJNA12958	12958	Protists	Kinetoplasts	18.8055	47.6	GCA_000227395.2	-	CAEQ01	2824	6324	5984	2011/07/26	2012/05/11	Scaffold	The Sanger Institute	SAMEA3138399
Meloidogyne arenaria	6304	PRJEB8714	384731	Animals	Roundworms	258.067	29.8	GCA_900003985.1	-	CEWM01	26196	-	-	2017/04/29	2017/04/29	Scaffold	Genoscope CEA	SAMEA3298190
Meloidogyne chitwoodi	59747	PRJNA666745	666745	Animals	Roundworms	46.9246	24.9	GCA_015183065.1	-	JACZZO01	39	-	-	2020/11/02	2020/11/02	Contig	Northwest Potato Research Consortium	SAMN16326667
Plasmopara viticola	143451	PRJNA380033	380033	Protists	Other Protists	83.5424	42.4	GCA_003123765.1	-	NBAH01	57890	-	-	2018/05/14	2018/05/14	Scaffold	Fondazione Edmund Mach	SAMN06627059
Theileria equi	5872	PRJNA242761	242761	Protists	Apicomplexans	9.79114	40.9655	GCA_002189625.1	chromosome 1:CM007993.1; chromosome 2:CM007994.1; chromosome 3:CM007995.1	LAPW01	9	-	-	2017/06/08	2017/06/12	Chromosome	US Department of Agriculture	SAMN03448480
Nannochloropsis gaditana	72520	PRJNA170989	170989	Protists	Other Protists	27.5893	54.5409	GCA_000569095.1	chromosome 1:CM002455.1; chromosome 2:CM002456.1; chromosome 3:CM002457.1; chromosome 4:CM002458.1; chromosome 5:CM002459.1; chromosome 6:CM002460.1; chromosome 7:CM002461.1; chromosome 8:CM002462.1; chromosome 9:CM002463.1; chromosome 10:CM002464.1; chromosome 11:CM002465.1; chromosome 12:CM002466.1; chromosome 13:CM002467.1; chromosome 14:CM002468.1; chromosome 15:CM002469.1; chromosome 16:CM002470.1; chromosome 17:CM002471.1; chromosome 18:CM002472.1; chromosome 19:CM002473.1; chromosome 20:CM002474.1; chromosome 21:CM002475.1; mitochondrion MT:KC012945.1; chloroplast Pltd:KC012944.1	AZIL01	684	10705	10929	2014/02/14	2014/02/18	Chromosome	CRIBI Genomics University of Padova	SAMN02440168
Babesia microti	5868	PRJNA157395	157395	Protists	Apicomplexans	6.80056	36.3	GCA_001650075.1	-	JGUW01	250	-	-	2016/05/23	2016/05/23	Contig	IGS	SAMN02203869
Phytophthora parasitica	4792	PRJNA205153	205153	Protists	Other Protists	47.7167	49.6	GCA_000509525.1	-	AVGE01	6791	21847	26648	2013/12/16	2014/08/04	Scaffold	Broad Institute	SAMN02178346
Bursaphelenchus xylophilus	6326	PRJNA524063	524063	Animals	Roundworms	77.2697	40.9	GCA_022702815.1	-	VRTM01	129	-	-	2022/03/28	2022/03/28	Contig	Co-Innovation Center for Sustainable Forestry in Southern China	SAMN03104445
Trichinella pseudospiralis	6337	PRJNA257433	257433	Animals	Roundworms	48.3986	32.7	GCA_001447575.1	-	JYDT01	5956	14621	14920	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949478
uncultured eukaryote	100272	PRJEB49206	840256	Protists	Other Protists	11.8636	60.9	GCA_935751465.1	-	CAKXZF01	1041	-	-	2022/04/02	2022/04/12	Contig	stanford university school of medicine	SAMEA13794527
Fasciola gigantica	46835	PRJNA339660	339660	Animals	Flatworms	1036.29	34.4	GCA_002867515.3	-	MKHB03	40380	-	-	2018/01/08	2019/08/27	Scaffold	North-Eastern Hill University	SAMN05601579
Nannochloropsis oceanica	145522	PRJNA566059	566059	Protists	Other Protists	27.0475	53.6913	GCA_009014695.1	chromosome 1:CP044552.1; chromosome 2:CP044574.1; chromosome 3:CP044563.1; chromosome 4:CP044576.1; chromosome 5:CP044577.1; chromosome 6:CP044578.1; chromosome 7:CP044579.1; chromosome 8:CP044580.1; chromosome 9:CP044554.1; chromosome 10:CP044581.1; chromosome 11:CP044553.1; chromosome 12:CP044555.1; chromosome 13:CP044556.1; chromosome 14:CP044557.1; chromosome 15:CP044558.1; chromosome 16:CP044559.1; chromosome 17:CP044560.1; chromosome 18:CP044561.1; chromosome 19:CP044564.1; chromosome 20:CP044562.1; chromosome 21:CP044565.1; chromosome 22:CP044567.1; chromosome 23:CP044566.1; chromosome 24:CP044568.1; chromosome 25:CP044569.1; chromosome 26:CP044571.1; chromosome 27:CP044570.1; chromosome 28:CP044572.1; chromosome 29:CP044573.1; chromosome 30:CP044575.1; mitochondrion MT:CP044583.1; plastid Pltd:CP044582.1	-	32	-	-	2019/10/12	2019/10/12	Chromosome	University of Queensland	SAMN12777274
Brugia pahangi	6280	PRJEB497	261573	Animals	Roundworms	90.5451	27.6	GCA_900618355.1	-	UZAD01	14029	14664	14599	2018/11/30	2018/11/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034757
Leishmania amazonensis	5659	PRJNA484340	484340	Protists	Kinetoplasts	33.505	59.7	GCA_003992505.1	-	RZOD01	92	-	-	2019/01/04	2019/01/04	Contig	CDC	SAMN09984809
Leishmania chagasi	44271	PRJNA722301	722301	Protists	Kinetoplasts	30.6178	59.3	GCA_018290745.1	-	JAGRQD01	7193	-	-	2021/05/06	2021/05/06	Contig	University of Sao Paulo - USP	SAMN10964361
Oxytricha trifallax	1172189	PRJNA258528	258528	Protists	Other Protists	106.242	31.8	GCA_000295675.2	-	AMCR02	36749	-	-	2012/09/07	2020/01/07	Contig	NCBI	SAMN02953822
Trichuris suis	68888	PRJNA208415	208415	Animals	Roundworms	74.2346	43.7	GCA_000701005.1	-	JMHY01	4292	14434	14434	2014/06/11	2014/07/31	Scaffold	The University of Melbourne	SAMN02423286
Plasmodium vinckei brucechwatti	119398	PRJEB19355	388626	Protists	Apicomplexans	19.2068	23.1016	GCA_903994205.1	chromosome PVBDA_01:LR865379.1; chromosome PVBDA_02:LR865380.1; chromosome PVBDA_03:LR865381.1; chromosome PVBDA_04:LR865382.1; chromosome PVBDA_05:LR865383.1; chromosome PVBDA_06:LR865384.1; chromosome PVBDA_07:LR865385.1; chromosome PVBDA_08:LR865386.1; chromosome PVBDA_09:LR865387.1; chromosome PVBDA_10:LR865388.1; chromosome PVBDA_11:LR865389.1; chromosome PVBDA_12:LR865390.1; chromosome PVBDA_13:LR865391.1; chromosome PVBDA_14:LR865392.1; mitochondrion PVBDA_MIT:LR865394.1; apicoplast PVBDA_API:LR865393.1	-	16	5332	5225	2020/08/06	2020/08/06	Complete Genome	King Abdullah University of Science and Technology	SAMEA7128593
Blastocystis sp. subtype 3	944168	PRJNA855474	855474	Protists	Other Protists	12.1182	52	GCA_025449415.1	-	JANPWR01	824	-	-	2022/09/28	2022/09/28	Scaffold	Dalhousie University	SAMN29493205
Symbiodinium sp. CCMP2456	1519616	PRJEB34894	629173	Protists	Other Protists	694.902	49.7	GCA_905221635.1	-	CAJNDV01	37772	32053	32053	2021/02/18	2021/02/18	Scaffold	Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland	SAMEA6359014
Caenorhabditis sp. 38 MB-2015	1729975	PRJEB11354	298397	Animals	Roundworms	100.372	34.8	GCA_900536415.3	-	UNPQ02	4890	-	-	2018/08/29	2019/04/09	Scaffold	Nematode and Neglected Genomics, IEB, University of Edinburgh	SAMEA4843592
Plasmodium sp. gorilla clade G1	880534	PRJEB13584	445524	Protists	Apicomplexans	24.9826	19.4884	GCA_900095595.1	chromosome 1:LT963414.1; chromosome 2:LT963415.1; chromosome 3:LT963416.1; chromosome 4:LT963417.1; chromosome 5:LT963418.1; chromosome 6:LT963419.1; chromosome 7:LT963420.1; chromosome 8:LT963421.1; chromosome 9:LT963422.1; chromosome 10:LT963423.1; chromosome 11:LT963424.1; chromosome 12:LT963425.1; chromosome 13:LT963426.1; chromosome 14:LT963427.1	FMIP01	53	6201	5888	2018/03/25	2018/03/25	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA2711195
Angomonas deanei	59799	PRJNA203418	203418	Protists	Kinetoplasts	23.0794	49.2	GCA_000482225.1	-	AUXM01	5616	-	-	2013/10/25	2014/08/06	Contig	VCU	SAMN02953866
Pythium aphanidermatum	65070	PRJNA785345	785345	Protists	Other Protists	56.038	53	GCA_027475745.1	-	JAMFLN01	45014	-	-	2022/12/28	2022/12/28	Scaffold	Kasetsart University	SAMN23767495
Globisporangium irregulare DAOM BR486	1223557	PRJNA169053	169053	Protists	Other Protists	42.9681	53.6	GCA_000387425.2	-	AKXZ02	5887	-	-	2013/05/02	2014/08/11	Scaffold	Michigan State University	SAMN02981432
Leishmania tropica	5666	PRJNA453461	453461	Protists	Kinetoplasts	32.2807	59.6	GCA_003352575.1	-	QEHO01	17013	-	-	2018/08/01	2018/08/01	Scaffold	Lebanese American University	SAMN08978937
Theileria orientalis	68886	PRJNA325071	325071	Protists	Apicomplexans	9.20645	37.3238	GCA_003072535.3	chromosome 1:CP056069.1; chromosome 2:CP056071.1; chromosome 3:CP056070.1; chromosome 4:CP056072.1; mitochondrion MT:CP102585.1; apicoplast Pltd:CP102584.1	-	6	3215	3152	2022/02/07	2022/02/07	Chromosome	Australian Centre for Genomic Epidemiological Microbiology	SAMN05219178
Babesia bigemina	5866	PRJNA685857	685857	Protists	Apicomplexans	11.8394	50.7	GCA_018901925.1	-	JAEPJR01	1529	-	-	2021/06/16	2021/06/16	Contig	Centro de Ciencias Genomicas - Universidad Nacional Autonoma de Mexico	SAMN17098654
Phytophthora lateralis MPF6	1249587	PRJNA178937	178937	Protists	Other Protists	49.0253	53.3	GCA_000338795.2	-	ANHN02	5864	-	-	2013/02/08	2015/10/27	Scaffold	University of Exeter	SAMN02981477
Phytophthora kernoviae	325452	PRJNA257640	257640	Protists	Other Protists	36.5909	50.3	GCA_000785735.3	-	JPWV03	1922	9852	9852	2014/11/20	2021/02/09	Scaffold	University of Exeter	SAMN02953537
Hexactinellida sp. DTS-2022	2996061	PRJNA906053	906053	Protists	Other Protists	112.398	36.4	GCA_028753945.1	-	JAPNXP01	18	-	-	2023/02/21	2023/02/21	Scaffold	Monterey Bay Aquarium Research Institute	SAMN31792537
Mansonella sp. 'DEUX'	1719275	PRJEB57801	910452	Animals	Roundworms	79.5999	30.4	GCA_948294485.1	-	CAOIUN01	7141	-	-	2023/01/16	2023/01/18	Scaffold	Institute of Tropical Medicine	SAMEA112156550
Aphanomyces astaci	112090	PRJNA484796	484796	Protists	Other Protists	51.7593	50	GCA_003546825.1	-	QUTH01	8084	14050	14050	2018/09/11	2018/09/11	Contig	University of Exeter	SAMN09768903
Haemonchus contortus	6289	PRJNA205202	205202	Animals	Roundworms	319.564	42.8	GCA_000442195.1	-	AUUS01	14388	-	-	2013/07/31	2013/11/01	Scaffold	Cornell University	SAMN02251403
Dipylidium caninum	66787	PRJNA768484	768484	Animals	Flatworms	86.5764	46	GCA_028456195.1	-	JAODJQ01	19975	-	-	2023/02/03	2023/02/03	Scaffold	Kansas State University College of Veterinary Medicine	SAMN22047186
Naegleria fowleri	5763	PRJNA900200	900200	Protists	Other Protists	27.2236	36.876	GCA_027563095.1	chromosome 1:CP113727.1; chromosome 2:CP113728.1; chromosome 3:CP113729.1; chromosome 4:CP113730.1; chromosome 5:CP113731.1; chromosome 6:CP113732.1; chromosome 7:CP113733.1; chromosome 8:CP113734.1; chromosome 9:CP113735.1; chromosome 10:CP113736.1; chromosome 11:CP113737.1; chromosome 12:CP113738.1; chromosome 13:CP113739.1; chromosome 14:CP113740.1; chromosome 15:CP113741.1; chromosome 16:CP113742.1; chromosome 17:CP113743.1; chromosome 18:CP113744.1; chromosome 19:CP113745.1; chromosome 20:CP113746.1; chromosome 21:CP113747.1; chromosome 22:CP113748.1; chromosome 23:CP113749.1; chromosome 24:CP113750.1; chromosome 25:CP113751.1; chromosome 26:CP113752.1; chromosome 27:CP113753.1; chromosome 28:CP113754.1; chromosome 29:CP113755.1; chromosome 30:CP113756.1; chromosome 31:CP113757.1; chromosome 32:CP113758.1; chromosome 33:CP113759.1; chromosome 34:CP113760.1; chromosome 35:CP113761.1; chromosome 36:CP113762.1; chromosome 37:CP113763.1	-	37	-	-	2023/01/03	2023/01/03	Chromosome	Institut Pasteur	SAMN31682405
Leishmania guyanensis	5670	PRJNA484340	484340	Protists	Kinetoplasts	33.816	58	GCA_003664525.1	-	QVNO01	123	-	-	2018/10/16	2018/10/16	Contig	CDC	SAMN09763187
Cryptosporidium meleagridis	93969	PRJNA315502	315502	Protists	Apicomplexans	8.70698	31	GCA_004348035.1	-	PVQF01	2260	-	-	2019/03/11	2019/03/11	Scaffold	Public Health Wales (Microbiology)	SAMN08383027
